Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2019-10-28T19:55:00Z,"BIL",2019-10-29T19:55:00Z,Buy,77.056045116,77.056045116,414,0,4.14,-3.48,3.48,3.48,0,"	258,259" 
2019-10-29T19:55:00Z,"BIL",2019-10-30T19:55:00Z,Buy,77.064460104,77.064460104,403,0,4.03,-6.78,3.39,6.78,0,"	260,261" 
2019-10-30T19:55:00Z,"BIL",2019-10-31T19:55:00Z,Buy,77.072875092,77.072875092,419,0,4.19,-3.53,3.53,3.53,0,"	263,265" 
2019-10-31T19:55:00Z,"META",2019-11-01T19:55:00Z,Buy,190.157755605,191.487321963,371,493.27,3.71,-633.15,831.93,1465.08,1,"	266,267" 
2019-11-01T19:55:00Z,"AAPL",2019-11-05T20:55:00Z,Buy,61.27948029,61.745137132,1161,540.63,11.61,0,788.65,615.87,1,"	268,269" 
2019-11-05T20:55:00Z,"MSFT",2019-11-06T20:55:00Z,Buy,136.565034155,135.979688001,525,-307.31,5.25,-703.83,0,703.83,0,"	270,271" 
2019-11-06T20:55:00Z,"BIL",2019-11-07T20:55:00Z,Buy,77.097029556,77.097029556,403,0,4.03,-3.4,3.4,3.4,0,"	273,274" 
2019-11-06T20:55:00Z,"TSLA",2019-11-08T20:55:00Z,Buy,21.7353311598,22.436664423,1855,1300.97,18.55,-27.21,1873.55,1022.72,1,"	272,276" 
2019-11-07T20:55:00Z,"BIL",2019-11-08T20:55:00Z,Buy,77.105457303,77.097029556,411,-3.46,4.11,-3.46,0,3.46,0,"	275,277" 
2019-11-08T20:55:00Z,"AAPL",2019-11-11T20:55:00Z,Buy,62.5901655015,63.0812953485,1160,569.71,11.6,-438.45,687,483.14,1,"	278,279" 
2019-11-11T20:55:00Z,"BIL",2019-11-12T20:55:00Z,Buy,77.105457303,77.105457303,414,0,4.14,0,3.49,3.49,0,"	281,282" 
2019-11-11T20:55:00Z,"TSLA",2019-11-21T20:55:00Z,Buy,23.0253310308,23.6386643028,1791,1098.48,17.91,-261.49,1835.18,1521.16,1,"	280,296" 
2019-11-12T20:55:00Z,"BIL",2019-11-13T20:55:00Z,Buy,77.11388505,77.105457303,415,-3.5,4.15,-3.5,0,3.5,0,"	283,284" 
2019-11-13T20:55:00Z,"BIL",2019-11-14T20:55:00Z,Buy,77.11388505,77.11388505,411,0,4.11,0,3.46,3.46,0,"	285,286" 
2019-11-14T20:55:00Z,"BIL",2019-11-15T20:55:00Z,Buy,77.122312797,77.11388505,417,-3.51,4.17,-3.51,0,3.51,0,"	287,288" 
2019-11-15T20:55:00Z,"BIL",2019-11-18T20:55:00Z,Buy,77.122312797,77.122312797,419,0,4.19,-3.53,3.53,3.53,0,"	289,290" 
2019-11-18T20:55:00Z,"BIL",2019-11-19T20:55:00Z,Buy,77.130740544,77.122312797,410,-3.46,4.1,-3.46,0,3.46,0,"	291,292" 
2019-11-19T20:55:00Z,"BIL",2019-11-20T20:55:00Z,Buy,77.130740544,77.122312797,414,-3.49,4.14,-3.49,0,3.49,0,"	293,294" 
2019-11-20T20:55:00Z,"BIL",2019-11-21T20:55:00Z,Buy,77.130740544,77.130740544,409,0,4.09,0,3.45,3.45,0,"	295,297" 
2019-11-21T20:55:00Z,"META",2019-11-26T20:55:00Z,Buy,196.16064849,197.142940053,378,371.31,3.78,-11.25,1192.68,1057.66,1,"	298,299" 
2019-11-26T20:55:00Z,"NVDA",2019-11-27T20:55:00Z,Buy,5.3984002527,5.4282657373,13810,412.44,138.1,-27.47,1031.07,924.51,1,"	300,301" 
2019-11-27T20:55:00Z,"META",2019-11-29T17:55:00Z,Buy,200.82405288,200.079892605,372,-276.83,3.72,-391.25,494.6,771.43,0,"	302,303" 
2019-11-29T17:55:00Z,"NVDA",2019-12-03T20:55:00Z,Buy,5.387700575225,5.169693937325,13837,-3016.56,138.37,-5485.59,86.09,5571.68,0,"	304,305" 
